parameters,rms,pitch,cent,flatness,rolloff,MFCC0,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,chroma0,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11
0.0-0.0-0.0-0.0,0.20890254278977713,22050.0,886.6409949109428,0.0005758388306560391,2074.365234375,-404.6274770100911,113.02814229329427,61.667975107828774,45.85867818196615,31.33393669128418,25.65073808034261,21.880966186523438,18.699061075846355,14.836257616678873,11.775554656982422,9.452717463175455,7.721012274424235,6.42156457901001,0.7288401325543722,0.8096534808476766,0.8883681893348694,0.9545081655184428,0.9963807662328085,0.9944668014844259,0.947592039903005,0.887173593044281,0.8159465392430624,0.7408268054326376,0.6648344794909159,0.63386070728302
0.0-0.0-0.0-0.1,0.054108619689941406,22050.0,1723.5135185039446,0.0012799631273108538,4120.01953125,-448.6258036295573,94.82026799519856,24.463645935058594,26.872331619262695,20.61326726277669,19.695276896158855,17.004153887430828,15.679227828979492,13.86622667312622,12.668919722239176,11.336283365885416,10.347753206888834,9.317229429880777,0.8081799348195394,0.8631498217582703,0.9216817617416382,0.9689084887504578,0.9991427858670553,0.9965073267618815,0.9633110165596008,0.9237881501515707,0.8760209480921427,0.821050782998403,0.7596891125043234,0.7334797581036886
0.0-0.0-0.0-0.2,0.008994249471773704,22050.0,1742.5163564241418,0.0013893846197906567,4184.619140625,-623.134033203125,94.56348927815755,24.2270565032959,26.665608723958332,20.44398307800293,19.569308916727703,16.92576535542806,15.651419321695963,13.88641087214152,12.729012807210287,11.425672849019369,10.456310272216797,9.436067263285318,0.8129217823346456,0.8661901354789734,0.9233432412147522,0.9694344401359558,0.999063511689504,0.9960800607999166,0.9627363681793213,0.9241428375244141,0.8779176870981852,0.8245653510093689,0.7645788192749023,0.7391767700513204
0.0-0.0-0.0-0.3,0.0014372756316636999,22050.0,1706.2034497776901,0.001291220511968542,4041.064453125,-804.5593465169271,99.18943277994792,28.176537195841473,29.59170405069987,22.141643524169922,19.978583653767902,16.149454752604168,13.90499178568522,11.467483679453531,9.964236418406168,8.623910744984945,7.874623775482178,7.2674330075581866,0.7971613605817159,0.852646549542745,0.9126651883125305,0.962828516960144,0.996679941813151,0.9961135586102804,0.9638412992159525,0.9240099986394247,0.8740984201431274,0.8163853486378988,0.7524221738179525,0.7236162622769674
0.0-0.0-0.0-0.4,0.0001666845964791719,22050.0,1545.7968199848922,0.0013827586432550258,3308.935546875,-995.0847574869791,70.20602925618489,32.500392278035484,30.196271260579426,23.372817039489746,19.655893325805664,15.838788668314615,13.474502245585123,11.439594904581705,10.034764925638834,8.74066416422526,7.774082501729329,6.972414652506511,0.7718144059181213,0.8334600329399109,0.8987968961397806,0.9555882215499878,0.9947610100110372,0.9963137110074362,0.9579789638519287,0.9074338873227438,0.8486600915590922,0.7845052679379781,0.7166089415550232,0.6899861892064413
0.0-0.0-0.0-0.5,1.624821313347032e-06,22050.0,2843.336488848254,0.3787209081153075,6890.625,-1121.2392578125,13.629568099975586,11.753420035044352,9.262663841247559,6.824528137842814,4.948739767074585,3.8271180788675943,3.3369313875834146,3.180896600087484,3.0714635848999023,2.8595987955729165,2.5558945337931314,2.2600685755411782,0.9015728036562601,0.9243941903114319,0.9580704569816589,0.9836418430010477,1.0,0.9864219427108765,0.9444446166356405,0.9175534248352051,0.9005273779233297,0.8728703657786051,0.8414381345113119,0.8360897501309713
0.0-0.0-0.0-0.6,3.6070180916188593e-07,19955.82565270599,1560.031912203459,0.6521236201127371,3617.578125,-1129.4017333984375,2.7766452630360923,2.7524120807647705,2.7125323017438254,2.6577545205752053,2.5890955130259194,2.507816433906555,2.4153849283854165,2.3134374618530273,2.203726669152578,2.088096261024475,1.968412458896637,1.8465255498886108,0.5697335799535116,0.6382544636726379,0.6657152970631918,0.6467655499776205,0.6236789226531982,0.6143645445505778,0.6139601270357767,0.5933151642481486,0.5697968602180481,0.5289551218350729,0.47999902566274005,0.48743973175684613
0.0-0.0-0.0-0.7,0.0,22050.0,0.0,1.0000007152557373,0.0,-1131.370849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0-0.0-0.0-0.8,0.0,22050.0,0.0,1.0000007152557373,0.0,-1131.370849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0-0.0-0.0-0.9,0.0,22050.0,0.0,1.0000007152557373,0.0,-1131.370849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
