parameters,rms,pitch,cent,flatness,rolloff,MFCC0,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,chroma0,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11
0.0-0.0-0.0-0.0,0.0,22050.0,0.0,0.9999999999999994,0.0,-1131.370849898476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0-0.0-0.0-0.1,0.003752068616449833,11075.0,1111.6758921746516,0.5006560444936627,2406.33544921875,-657.3840057269456,64.95093226620355,12.241936668572286,14.170489330576746,9.662742005146733,9.217602124243388,7.488511692733379,6.817144814089032,5.799313969060071,5.250129542274416,4.595725978467646,4.18569231870956,3.7212882396994305,0.44806746990958835,0.4532357727625922,0.47455892381513376,0.47812647047711937,0.4998508167648088,0.5,0.4016036681792888,0.36166466346727805,0.334537626573696,0.3185671799392977,0.3302081146243661,0.39465884927229195
0.0-0.0-0.0-0.2,0.011180799454450607,11075.0,859.5552471745772,0.00016054752740450346,807.4951171875,-548.3637580847399,157.32081360935433,42.35425836721794,40.083056863169546,27.86138039172561,25.029144000755778,20.09925767043045,17.54766799264297,14.512668789874976,12.610762394733932,10.667549705841648,9.356076854968817,8.046702322311234,0.4692083242340469,0.3844359543061392,0.3395633346595068,0.41072372424877046,0.6396295345889511,0.8105117643898507,0.9136263222105533,1.0,0.8716112973620804,0.7273533373679075,0.5561626325194249,0.49535138013073177
0.0-0.0-0.0-0.3,0.018524009734392166,100.0,2516.2477881955365,0.0020954450304400043,5900.09765625,-346.99068050589756,128.3246321755579,22.896849409981595,26.76116296909462,17.77276492285008,16.927280424695972,13.528995659423165,12.259114850126238,10.307119236645097,9.301117967654893,8.091110611199401,7.374012927258592,6.550089503598352,0.63197989929099,0.7184923650615462,0.8467570012956104,0.8863205936367454,0.9627300605768632,1.0,0.8142159279446809,0.6643234551929301,0.49469433077345626,0.43401802304769366,0.45417882443647106,0.5427025094308936
0.0-0.0-0.0-0.4,0.02614361047744751,11075.0,1066.1296558442946,0.00028770297517833997,1539.6240234375,-441.7372754552074,154.862750927374,40.42415298119505,38.17898518290472,26.41564048043656,23.543779661737304,19.014103803684048,16.40588914573968,13.731798394158556,11.767081858447096,10.141765354179697,8.763245234528885,7.72583573488369,0.47922323587706317,0.3576016872638532,0.2853971697711435,0.3477997975658525,0.5802378143157991,0.7638426031791758,0.8967189044370465,1.0,0.8869516784101996,0.7558093511519095,0.586422338730882,0.5192515279468575
0.0-0.0-0.0-0.5,0.033247608691453934,100.0,2576.5318889043624,0.0022616269892757114,6126.1962890625,-284.2653728162303,127.8199974529904,22.442123398002614,26.35755677556456,17.416381066166565,16.61545092554678,13.260388058622407,12.032821258527065,10.122358595533669,9.157036717959304,7.986861426646806,7.308750325336964,6.52301826560552,0.670674162467453,0.7485624745029789,0.8772394779067558,0.9169736930332634,0.9752689736234692,0.9834518335947149,0.7907032255938512,0.6555565675496868,0.5022906203995983,0.443073419337938,0.4656319526036254,0.5708070043670856
0.0-0.0-0.0-0.6,0.04091908410191536,11075.0,2009.2268483614027,0.0009966708514757938,3972.8759765625,-297.32171221839855,132.00273630050071,26.070213107147573,29.4484574005991,20.044658386360105,18.83687466012029,15.113062276950542,13.548624364704125,11.332213690351047,10.092682709587308,8.679940095357692,7.789698241101663,6.819801086700918,0.5157300023712208,0.38897526418258316,0.2953938352915874,0.3305734635151737,0.535057118046963,0.7225047432202549,0.8859054846856396,1.0,0.8999830610808719,0.7811923097563386,0.6169631309906891,0.5493949031528911
0.0-0.0-0.0-0.7,0.048575736582279205,11075.0,2052.2417210015174,0.0011138767298149365,4150.52490234375,-282.8270821182375,129.4712753512778,24.3319781806752,28.455096834924134,19.66176908436008,18.957719208460404,15.657914978232128,14.448458716672107,12.521434002832983,11.506787115975975,10.257038893243982,9.472318487395373,8.556696897040274,0.7480006774428403,0.7645169343274378,0.8533382584273461,0.9017719955792998,0.9634268012930478,0.9331377750920578,0.7499940428391496,0.6692839117463986,0.5547704850708526,0.49365454038737977,0.5198972905951218,0.643905272062585
0.0-0.0-0.0-0.8,0.055876947939395905,100.0,2250.6319339772076,0.001467202786180234,4920.3369140625,-246.04123773092738,129.9625125843279,24.37426644342362,28.079005953849823,18.945970632194555,17.963757426897974,14.430718067965113,13.025902672020615,10.93862683957506,9.797737851061733,8.454100872745101,7.60544175832603,6.652771806057826,0.5028204458676921,0.44140640612315196,0.3924935027314761,0.4290851833594066,0.5877841737343621,0.7249758586011645,0.8736603014245266,1.0,0.9053201394790733,0.7742794397425905,0.6027940100357614,0.5261933184234366
0.0-0.0-0.0-0.9,0.06412030756473541,11075.0,1559.5255545582772,0.00044263689881437367,2255.60302734375,-294.99936482345237,131.44029635708893,26.45550320006494,30.715353535208337,22.021174830895667,21.382313071581695,18.11717393642526,16.91200020476743,14.957594917656122,13.88247662048428,12.538539903391912,11.626225785857292,10.551119476040311,0.7470404789067773,0.737019273520015,0.8058260824770069,0.8627043879210108,0.9399362493649237,0.9125402956024256,0.7537507570976629,0.6975700227181485,0.6038669636511949,0.5591048126409656,0.5761779009923511,0.6697688144832139
