parameters,rms,pitch,cent,flatness,rolloff,MFCC0,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,chroma0,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11
0.11847198624948951-0.3384150594737667-0.2598841061219699-0.2332415629591863,4.7623188990457545e-08,0.07884656754862264,0.33484316493977917,4.2742092913280575e-07,0.6181350361561755,-0.18988419357115008,0.02489505747621647,0.0065721775771914554,7.038467702761887e-05,-0.0014145153468505488,0.0009493410712598799,0.0029369767946421377,0.002664491233614253,0.0003489335250926688,-0.0035440352477014276,-0.007147960298461098,-0.008170664039791395,-0.005209018619052967,1.672623452849629e-05,0.00014319858960026738,9.39605059027488e-05,9.610389565751712e-06,4.989440752633876e-06,6.415680734575679e-06,2.1570182775261108e-05,9.287083174113831e-05,0.00019621856261399997,0.00013396981180310895,3.440302504492239e-05,8.197510768726296e-06
0.0948429905852507-0.8752445852990103-0.30536529719508154-0.12162431226456927,1.5002688506118315e-07,0.09724458382171841,0.535247489041193,3.8533491395000294e-07,0.8422075526496542,-0.3253627720887356,0.06380748427165717,0.008408272009496435,-0.006076981601760438,-0.0041132138921925005,0.004700740316023133,0.0081849306562334,0.005566064781318825,-0.0007869771880555636,-0.007105483653048454,-0.01382679606475227,-0.014478570996012205,-0.004423464374719637,6.47232965719317e-05,0.00030934936792303215,0.00035065903999720316,9.120493140936164e-05,0.00015938674097190427,3.741845509101688e-05,2.1807376759368197e-05,9.302449187504865e-05,0.00029973061933226815,0.00028020927428543986,0.00014882270323622894,0.00012005067580449355
0.6957525262949771-0.2840888023060095-0.40755454783673606-0.60060280076876,2.5473960355279853e-05,1.0833235650813993,8.908815723383723,1.3047427968982924e-05,14.840510017916131,-2.9520274420354817,0.7952395812927193,0.0202328533948218,-0.13429460378586575,-0.11353404792849808,0.039668833330274524,0.07482533347058269,0.044097733799938275,-0.043626271044756505,-0.10549311287598595,-0.19891889984699418,-0.1343556441287189,-0.035747069731267324,0.0005865283967702468,0.002096980473027884,0.0027935794089420283,0.0013726237636731604,0.004964496474713087,0.0012090020261344518,0.00016537248245298655,0.0003383410745389775,0.001106208004277659,0.0013788994129120453,0.0012962454488434684,0.0012415014439403442
0.5502709524955066-0.7133956665333576-0.5541844355981834-0.8339413083289982,3.642801438333844e-05,1.1018508964696485,13.00130728579409,1.8360285416078535e-05,20.681826803979675,-3.2759449369850224,0.834645934620975,-0.02843675695652692,-0.17792990448911894,-0.12097701351684798,0.06464093481410504,0.0795656011293769,0.03337328366722847,-0.06936994339809943,-0.13839542258409518,-0.2318859895750176,-0.14023376103258775,-0.010333074731507352,0.00021785498078013272,0.0012759715764680453,0.0017901591312185078,0.0014836569691983811,0.00592383136972785,0.0014557311025722094,0.000145181069390074,0.00019574188524409792,0.0005686594114388636,0.0006240868178492067,0.0004240341313440932,0.0003512022306715225
0.6283918655817041-0.742709758651478-0.5626124847526256-0.29691882022629223,9.74272548828773e-05,7.804084123842912,15.987656170930444,8.399798309503687e-06,19.126406636087268,-5.1550408759767,1.6611157044325229,-0.03488034076224148,-0.3546771716126103,-0.20879320811884247,0.12466501244597161,0.1171109980249021,0.04705767878072612,-0.09579285383201701,-0.1403489499443502,-0.2986187984189712,-0.176531627814945,-0.009664769224809078,0.0001904140402954902,0.001598797371686426,0.002809394001483121,0.002607589829907553,0.009713761818905672,0.0022316340418680656,0.00014265615239751942,0.00017954521483026035,0.0005882217000497692,0.0006127497908580472,0.0003176088675108495,0.0002824322484485913
0.23558143017475242-0.5554901629133902-0.3106506913978607-0.079892656687516,1.9584355671317367e-05,2.0836651285812877,9.589259608961436,2.6751625221642134e-05,16.11524347778186,-2.5399657006353684,0.6822310421501369,-0.04523373201042302,-0.17342936167140177,-0.10124178629712481,0.027895546589120784,0.023993518547248405,0.003922525382091517,-0.061750240892995745,-0.06395986439841568,-0.11936680837907628,-0.07122416908608938,0.006806994215014998,0.00015458502215089497,0.0007264841437845988,0.0010138974440274129,0.0011749456329063306,0.004360687065248688,0.0009967574925846521,0.0001083856627152953,0.00011629613099864563,0.000322208110271644,0.0002801232989381108,0.0001063174732503196,0.00014257541324131794
0.5740424724577363-0.04189855364359829-0.975787881489011-0.8335457826633176,0.0002459385756775429,3.7967907973406625,32.81655500140305,6.62852968186548e-05,55.84902610080462,-7.049859931027195,2.426877425169735,-0.037877787469430636,-0.5323542671602569,-0.361931968294891,0.054301210834137414,0.08681431213824171,-0.039570990013972795,-0.26731666832676143,-0.3088437876784062,-0.3973943311081924,-0.27177487642915504,-0.015354288711314426,0.0038290567785505595,0.003498094730585849,0.0040343329634883,0.00493212340832988,0.014785281965221017,0.0030403947889895075,0.0003521533853026603,0.0006328549524385266,0.0018199750546093348,0.0019209377366595133,0.002770969219965657,0.005697249907764064
0.38425877870808334-0.35802755871208125-0.6722783956551203-0.922644017375785,0.00020784959473027988,3.398917969889139,21.227208155650008,3.7395543507175847e-06,20.9157113477886,-7.187245387476338,2.6353298699600223,0.13050748203818507,-0.5520661863885673,-0.33334279426564944,0.042148439115154236,0.10629976498540146,0.011921414101194072,-0.2005960751259573,-0.25867386403734116,-0.35598254464603113,-0.2809224187283436,-0.07765419638028259,0.0029295361678895967,0.002262695051512905,0.002641180800305301,0.003294759244627299,0.01420717965811491,0.0034154542943467072,0.00011289352738820362,0.00019693602073401258,0.0008849319424948134,0.0012992468381894985,0.002454102555885925,0.004590154154249636
0.6606384894158085-0.6296918832705505-0.9993779858400816-0.3853948634287533,0.0011079832778048057,7.597473664832168,56.68038148920036,4.114547284896104e-05,76.1227124798097,-13.19835941151816,5.665241148973688,0.1550637324469714,-1.0387731599511507,-0.4709257573743499,0.1591814268671309,0.13333113978023367,0.11852352574896496,-0.4272756403091444,-0.5452940408971081,-0.6829709379254633,-0.4642248227381245,0.10288285149202155,0.008901296728185551,0.004777865703859112,0.004271375533391075,0.007358568018813387,0.03134620825112466,0.007552258561040979,0.00041950024210694593,0.000481932139527261,0.0016432109931543888,0.002792482832539356,0.008603932165399675,0.015994410993820596
0.5200873107772036-0.613605372734818-0.14221585138171589-0.7298798568055113,0.0010477222596296763,7.201690773648977,60.635664852962115,5.826017914187544e-05,87.41519493105443,-12.441028838470174,5.309291581263021,0.09434091358127539,-0.8687700197752714,-0.604323183588337,0.06817146886592829,0.12639652885430971,-0.016366845431047123,-0.673614018012311,-0.7444639915724226,-0.5835823496763565,-0.3292811187992252,0.033353883771983416,0.009040975892495326,0.0026962303482544053,0.0016982830570516129,0.005810007901065113,0.025424392629189402,0.006809241316425564,0.0006530670523405323,0.000729350131032922,0.001612065607021163,0.002012881334685676,0.008308202468035264,0.017974089403710296
0.3610669434425442-0.2928481821524551-0.5675214567009065-0.3030772481305898,0.0006457182200117611,8.037030136053774,43.89505930904474,3.2646635767112125e-05,54.32358045009096,-10.405162046129817,4.301882519709646,0.014948575330393288,-0.7997093751044725,-0.5888581865793393,-0.02127692838495454,0.10387917326051947,-0.03332901496522441,-0.6029639737007125,-0.6108477908489848,-0.4025044187314724,-0.2271904471421505,-0.04235133379733058,0.008589848569911676,0.002330983981368153,0.0016933759953047082,0.00605501060148773,0.023423974890177852,0.006805121646852763,0.0007238427438659333,0.0006566252810133916,0.0012371847280559477,0.0014208477298703244,0.007472106081253972,0.017766045680377318
0.2549818645734131-0.8382775103735062-0.7760291202004101-0.4284507350258383,0.00040756482290483256,6.4264481978508385,34.186358731164155,1.859987233080814e-05,40.12695563988018,-8.863007881564235,3.4707085192591762,-0.08511848873531343,-0.6585254046694828,-0.4089393481043899,-0.09454324168427856,0.05335721579089636,0.05136627050523934,-0.45044023467352484,-0.5209355413465033,-0.3506611689901706,-0.13929316255107813,0.018989868231254297,0.006000395662156155,0.0011774333970605057,0.0008646670373771842,0.004461719111451749,0.015554929892061864,0.004715377553380899,0.0004849411568546835,0.0002908481875495174,0.00044109769898243584,0.0008988678771154057,0.005957686144658664,0.013605101755335395
