parameters,rms,pitch,cent,flatness,rolloff,MFCC0,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,chroma0,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11
0.0-0.0-0.0-0.0-0.0,0.14463491241137186,197.3120500668687,2976.427074475534,0.00377751289245983,7034.1796875,-130.28287760416666,124.3145523071289,-26.92606544494629,35.63757069905599,-13.246084213256836,29.69676971435547,-6.994474411010742,14.863239288330078,-5.791699528694153,12.736364682515463,-5.434127966562907,5.665889859199524,-2.7836511929829917,0.5747533241907755,0.3875078583757083,0.3354715282718341,0.3036997976402442,0.3143821905056636,0.4189125597476959,0.40943655620018643,0.3481248455742995,0.47154434521993,0.6738186081250509,0.9428827365239462,0.9189121723175049
0.0-0.0-0.0-0.0-0.25,0.039991624653339386,2911.2953138214684,6254.725355363916,0.008048830321058631,10852.734375,-291.94984944661456,5.201253016789754,-41.16275405883789,39.729390462239586,-9.877889752388,13.854075908660889,-17.039940516153973,24.04058329264323,5.277592658996582,4.301288366317749,-6.700312217076619,18.992130597432453,-6.648189226786296,0.005983949173241854,0.012166821708281835,0.008696749495963255,0.00829042416686813,0.017352659565707047,0.00960170105099678,0.008553675375878811,0.008876561730479201,0.1574228803316752,1.0,0.16663914918899536,0.007870678013811508
0.0-0.0-0.0-0.0-0.5,0.09389859686295192,154.68153732122593,3139.275312345853,0.006221926615883906,7113.134765625,-144.4067637125651,128.43000030517578,-24.740974108378094,40.04429372151693,-11.70895512898763,21.73427454630534,-15.38354523976644,7.505993843078613,-15.05201530456543,2.8619283636411033,-12.796182870864868,-2.9537121852238974,-12.855141957600912,0.2840456838409106,0.3751924882332484,0.6152570446332296,1.0,0.7752655943234762,0.4523559312025706,0.2951279779275258,0.3007555653651555,0.20739638432860374,0.29576167712608975,0.5804104506969452,0.4754204551378886
0.0-0.0-0.0-0.0-0.75,0.04206506535410881,22050.0,1338.3669019104545,0.0025358917541046613,3129.4921875,-480.07373046875,145.75549825032553,35.36809984842936,30.94790776570638,18.549664815266926,15.922781944274902,13.132518768310547,12.735293865203857,10.929835001627604,9.78383763631185,8.404734452565512,7.4934695561726885,6.140164057413737,0.8415032823880514,0.8888483246167501,0.9401294787724813,0.9766882459322611,0.9991635282834371,0.9934705098470052,0.9605209231376648,0.932703415552775,0.9007509350776672,0.8570075432459513,0.8028438687324524,0.7730376919110616
0.0-0.0-0.0-0.25-0.0,0.05204243833820025,169.77332230733364,1071.8294502735528,0.0012477045239028446,1873.388671875,-386.1016845703125,222.26777140299478,44.00495910644531,11.131216684977213,4.661444505055745,-0.3228425979614258,2.1462207237879434,7.136322021484375,3.002650340398153,-0.7336681683858236,-3.8119574387868247,-5.6610236167907715,-4.229743401209514,0.3875160614649455,0.28237685312827426,0.2988474890589714,0.43689047793547314,0.7235360741615295,1.0,0.73979785044988,0.4598306616147359,0.31522605816523236,0.24777373671531677,0.16722936804095903,0.2567225744326909
0.0-0.0-0.0-0.25-0.25,0.09191789974768956,661.4904234476367,2456.6228995960464,0.00560335995017643,4550.68359375,-231.04090881347656,153.5583292643229,-25.652705828348797,7.871557831764221,-3.8597090244293213,-9.636193116505941,-6.6325004895528155,-6.069332599639893,-5.1293831666310625,-4.825877984364827,2.1712772051493325,9.38034995396932,18.322478612263996,0.049627567951877914,0.039222658650639154,0.05720042980586489,0.29074910283088684,1.0,0.43516190846761066,0.05915549832085768,0.03137671613755325,0.03348720259964466,0.029657774798882503,0.03941771977891525,0.10133131717642148
0.0-0.0-0.0-0.25-0.5,0.09442639102538426,128.38208130020834,2927.541112336227,0.0055279366206377745,6818.84765625,-145.90652974446616,137.39019266764322,-16.10822073618571,40.91142654418945,-11.09782044092814,25.37157440185547,-7.29426783323288,13.444488684336344,-3.9506691296895347,12.599126180013021,0.519268254439036,4.1286619901657104,-6.586019992828369,0.8131934801737467,0.5646167596181234,0.3860730429490407,0.3324653009573619,0.30723727742830914,0.28705404698848724,0.49377084771792096,0.8068185051282247,0.7524587114651998,0.6607079108556112,0.7091548840204874,0.8418847521146139
0.0-0.0-0.0-0.25-0.75,0.06683294226725896,1880.4643026482033,2485.7615693406133,0.0012839542274984221,5505.322265625,-242.1628621419271,147.82538350423178,-31.49325942993164,41.68878428141276,-6.401388148466746,26.500160217285156,9.723925908406576,13.043154080708822,-3.3972463607788086,12.726609547932943,23.26706822713216,19.089580217997234,-10.428132851918539,0.4438384423653285,0.3613327021400134,0.36224599927663803,0.3810826639334361,0.383454571167628,0.4348412851492564,0.43117184937000275,0.39886050919691723,0.43395016094048816,0.48380718131860095,0.9496540824572245,1.0
0.0-0.0-0.0-0.5-0.0,0.17440479497114816,589.2483452164132,3526.865653956238,0.00899587074915568,7536.62109375,-65.20353698730469,116.5481948852539,-32.29208596547445,35.13391240437826,-25.78292719523112,12.422070821126303,-13.531917572021484,6.0626169840494795,-20.494885126749676,0.0029717286427815757,-7.400319894154866,11.437572995821634,3.357470820347468,0.1634766086935997,0.48361173768838245,0.8249934415022532,0.8345157901446024,0.3685362935066223,0.23156559467315674,0.2566241919994354,0.1314416453242302,0.09964945415655772,0.15613393982251486,0.22628035893042883,0.1515297368168831
0.0-0.0-0.0-0.5-0.25,0.004510519560426474,100.0,2851.5976605075252,0.00578766541245083,6625.048828125,-436.7609456380208,142.32225036621094,-12.070419470469156,41.994283040364586,-8.630084355672201,25.591806411743164,-6.767328103383382,15.116751194000244,-8.81896448135376,2.583085219065348,-14.123552004496256,-2.0102718671162925,-6.349466959635417,0.704841693242391,0.786223292350769,0.7821847597757975,0.5832774341106415,0.5294486780961355,0.6373173495133718,0.7795249323050181,0.6593767205874125,0.45455001791318256,0.3934193154176076,0.5564521352450053,0.584701677163442
