parameters,rms,pitch,cent,flatness,rolloff,MFCC0,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,chroma0,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11
0.7184383666944584-0.5804552449106889,0.11221055469161871,229.62983591689553,521.1183715984024,0.0005090412796018629,948.2191103190416,-95.98709189888973,41.18122862085662,4.5185872184341065,-2.5711267034512084,-10.058008641149248,-13.629185174029772,-13.250746767493316,-10.26260456927696,-4.75389230369413,0.7278250997835501,5.42158927946348,7.781431650223918,7.720047750154777,0.0020435281127163824,0.002696359153006459,0.004216578357914758,0.01184085501424218,0.10452466201603124,0.3301537831624349,0.13829657613228066,0.014518712361689418,0.004657488324923403,0.002805113075246888,0.0021790176142022625,0.00194290556613139
0.7236204546161118-0.5432426467535405,0.09819123055495697,215.86701607690784,649.3165283592484,0.0007308039060106497,1299.2838139442028,-81.97893274305677,31.06606066178286,4.436214865634099,-2.7379058528012528,-10.328941433513213,-13.305039304711991,-13.207848005579194,-9.687874057755229,-4.5008245076582325,1.0476259253118532,5.278125051479918,7.38503045205196,7.063831011806381,0.001879429793469124,0.0023643678091925286,0.003755244965403482,0.010610303523051869,0.0954738864777996,0.30884093046188354,0.12633928450571416,0.013726919303492369,0.004538183048140479,0.00274993458987719,0.002082154242932398,0.0017929533343840002
0.4606411824043677-0.07531399420907714,0.0018997084099150695,22.560824112695148,61.14989103173525,4.029948422094464e-05,95.34062225229718,-20.68204390393642,5.215698580722119,1.5683831342300607,0.7702471188477465,-0.20040469622172155,-0.8136823897220857,-1.294866875457662,-1.4860625966595389,-1.4542187006369527,-1.1924189192707029,-0.7949939983355634,-0.3258231165304875,0.11805231521443105,0.042957860976457596,0.02380744677828058,0.003429151540137306,0.0009755852976885615,0.0005636432833394206,0.0004240621271961998,0.0003842258198032235,0.00041523856882806783,0.0005486605004085662,0.0009411029758325688,0.0027957157128784133,0.01619899853693026
0.5851803592659125-0.8186115065401063,0.2224565566822747,282.23835671656474,677.5265851218077,0.0004011671867640162,994.2222262965515,-117.54593516203992,55.21457500285245,13.512712743196365,3.4623758786270478,-7.42084981764818,-13.32582318515847,-16.686198323075057,-16.03074454545079,-12.572176934163585,-6.8632523667327705,-0.5530823322602553,5.192707076228847,9.120386619730729,0.008347078794309964,0.023859483719738672,0.17556969609826942,0.464860479036967,0.21311952821800162,0.025880178477662923,0.00795406790467731,0.004790389737545823,0.003677473924858265,0.0033870642565935684,0.003657702438359264,0.005059134484205923
0.5563461496166076-0.7076266090537598,0.16788015068063,237.68940185656024,716.3101673732561,0.0005866203485177321,1310.6473010164336,-98.47154164222145,43.934265632836365,11.183856841111114,3.704100155541217,-5.6983600707160535,-11.113245753760888,-14.449603309527598,-14.389829140215207,-11.907220382568804,-7.387800963284178,-2.166901598164202,2.8126199141936916,6.492693663672067,0.020318382734753577,0.1435160886828788,0.4038310746351878,0.20064878531713148,0.025157338744193413,0.0075274320556312614,0.004454580448928955,0.003354781322465729,0.003058362977188827,0.0033855724559305237,0.004359827447787863,0.006611115204412388
0.34646771756292327-0.26406579485325754,0.023124328097341884,67.4957195540054,282.4464578948702,0.00033487358724970906,598.3283115987433,-51.20096972509805,15.457880694020693,4.619095755995706,3.097934897575916,0.439072932641596,-1.3531180229026727,-3.0666184214792054,-4.1576204645303205,-4.787642533617391,-4.792015667469362,-4.31784505494853,-3.4078306223787727,-2.2585662468383134,0.004957029732175921,0.0030260332044782525,0.0023146999687653075,0.0021012201763253957,0.0021880741778825155,0.0029071017576917323,0.004763756210201909,0.018554989287193947,0.08346711335722941,0.1498768130938212,0.07339513279697012,0.016112494093656397
0.8955549269362355-0.3533337734958397,0.041737724238286665,163.57679541857667,433.11170954286325,0.00045315695233708525,824.8422625751118,-61.58142644805131,19.578365761640118,0.9113283804860531,-4.475184394438543,-8.940741790345365,-9.19819520788631,-6.7881672729682805,-2.371997314259642,2.016815490841926,5.026338268231076,5.681791170014246,4.170023222354511,1.3153992074378966,0.0013227141190060305,0.0010061698388897115,0.0009109419297888281,0.0009642405431299854,0.0012231251756060926,0.0019936507167344847,0.005832208295621329,0.06476014263695055,0.20135573049386343,0.0614907955774863,0.0058841266042851835,0.0021544378800844393
0.10840740310253927-0.5934112922842131,0.11723910858182467,98.7819009015061,471.49895535515185,0.0003319671029011312,852.8528939728858,-93.21172248314285,38.68371896741686,15.60428522785935,13.780303874521374,9.308952810243795,6.4077656450527725,3.056297789291468,0.30829672898275656,-2.2645570338897536,-4.236888990343606,-5.771576997682729,-6.707844721231093,-7.180975364225333,0.09651579866799898,0.2604952693040155,0.33745986223220825,0.29179643652879267,0.10783539945137677,0.02964683712315651,0.013719539594398908,0.010405332026994387,0.009934206972858892,0.011360229320674977,0.016479052530148083,0.03683710859984418
0.44280938813141546-0.9643663915134155,0.30872865341964734,281.37292989195777,968.6511703388709,0.0010106406546703602,1837.192054260231,-120.89699806901513,59.16314404284822,16.689631998816235,8.57842253219865,-2.8975837375067326,-10.260042328654512,-16.266170298900573,-18.913878790830836,-18.97090337009695,-16.200047600741357,-11.628968789622112,-5.927623192950686,-0.24827664916320233,0.5476310153802236,0.23914136639540237,0.041434819932840185,0.013191708486018213,0.008030426330825803,0.0061731481831779995,0.005509903262830168,0.005844584010489709,0.007273056910528355,0.01237704794812658,0.04803807542511107,0.2865637171174438
0.41290629767136244-0.648487619593047,0.13994904760227586,182.09821325711835,667.9831299781478,0.0007153277727795553,1322.6140097060124,-92.95462542697062,37.60323788613058,10.101453050864771,5.7501120986150225,-1.045035466214112,-5.363308828220208,-9.16021905729743,-11.127271010473388,-11.727599821724633,-10.662163921516102,-8.430823836232586,-5.288136455234148,-1.8552865864677983,0.1728293709465465,0.031989460491678556,0.009795973826120623,0.00602161734960261,0.00458550179809563,0.004057360976453443,0.004283032975424698,0.0054485949238865785,0.009412618623822781,0.03640579923480192,0.19176678066431485,0.3687099913756053
